ID,Name,Country,Latitude,Longitude
SPXX0119,Riano,Espagne,42.97,-5.02
SPXX0121,Ronda,Espagne,36.73,-5.17
SPXX0126,Tordesillas,Espagne,41.5,-5.0
SPXX0133,Alcoi,Espagne,38.69,-0.47
SPXX0138,Calahorra,Espagne,42.33,-2.07
SPXX0140,Ciudad-Rodrigo,Espagne,40.6,-6.53
SPXX0145,Hellin,Espagne,38.5,-1.7
SPXX0152,Miranda-De-Ebro,Espagne,42.69,-2.94
SPXX0157,Pollensa,Espagne,39.87,3.0
SPXX0176,Manzaneda,Espagne,42.32,-7.25
SPXX0183,Salou,Espagne,41.07,1.13
SPXX0188,Xativa,Espagne,38.98,-0.52
SPXX0190,Oviedo,Espagne,43.35,-5.87
SPXX0195,Valladolid,Espagne,41.65,-4.77
SPXX0203,Badajoz,Espagne,38.88,-6.98
SPXX0208,Santiago-Compost,Espagne,42.9,-8.43
SPXX0222,Gijon,Espagne,43.54,-5.66
SPXX0227,Segovia,Espagne,40.93,-4.1
SPXX0234,Montmelo,Espagne,41.55,2.25
SPXX0001,Alcala-De-Guadaira,Espagne,37.33,-5.83
SPXX0006,Alcorcon,Espagne,40.35,-3.83
SPXX0013,Badalona,Espagne,41.45,2.25
SPXX0018,Camas,Espagne,37.4,-6.03
SPXX0020,Castelldefels,Espagne,41.28,1.97
SPXX0025,Cuarte-De-Huerva,Espagne,41.58,-0.92
SPXX0032,El-Ejido-Espagne,Espagne,36.78,-2.82
SPXX0037,Gandia,Espagne,38.97,-0.18
SPXX0044,Ibiza,Espagne,38.87,1.38
SPXX0049,Lhospitalet-De-Llobregat,Espagne,41.37,2.13
SPXX0051,Mahon,Espagne,39.87,4.23
SPXX0056,Moron-De-La-Frontera,Espagne,37.13,-5.45
SPXX0063,Pozuelo-De-Alarcon,Espagne,40.43,-3.82
SPXX0068,Sanlucar-De-Barrameda,Espagne,36.78,-6.35
SPXX0075,Talavera-De-La-Reina,Espagne,39.95,-4.83
SPXX0082,Valencia,Espagne,39.47,-0.37
SPXX0087,Agreda,Espagne,41.85,-1.93
SPXX0094,Buitrago,Espagne,41.0,-3.63
FIXX0003,Hyvinkaa,Finlande,60.33,24.87
FIXX0008,Korsnas,Finlande,62.78,21.2
FIXX0010,Laitila,Finlande,60.88,21.68
FIXX0015,Rauma,Finlande,61.13,21.5
FIXX0022,Nivala,Finlande,63.92,24.97
FIXX0027,Jokioinen,Finlande,60.82,23.5
FIXX0034,Muonio,Finlande,67.97,23.68
FIXX0002,Helsinki,Finlande,60.32,24.97
FIXX0007,Kokkola,Finlande,63.83,23.12
FIXX0014,Porvoo,Finlande,60.4,25.67
FIXX0019,Vaasa,Finlande,63.05,21.77
FIXX0021,Kajaani,Finlande,64.28,27.68
FIXX0026,Pori,Finlande,61.47,21.8
FIXX0033,Kevo,Finlande,69.75,27.03
FIXX0001,Espoo,Finlande,60.22,24.67
FIXX0006,Kerava,Finlande,60.4,25.12
FIXX0013,Oulu,Finlande,65.02,25.47
FIXX0018,Turku,Finlande,60.52,22.27
FIXX0020,Vantaa,Finlande,60.22,24.98
FIXX0025,Jyvaskyla,Finlande,62.4,25.68
FIXX0032,Sodankyla,Finlande,67.37,26.65
FIXX0005,Kemi,Finlande,65.73,24.57
FIXX0012,Oravainen,Finlande,63.3,22.38
FIXX0017,Seinajoki,Finlande,62.8,22.83
FIXX0024,Ilomantsi,Finlande,62.68,30.95
FIXX0029,Rankki,Finlande,60.37,26.97
FIXX0031,Tampere-Pirkkala,Finlande,61.42,23.58
FIXX0004,Jarvenpaa,Finlande,60.47,25.1
FIXX0009,Laihia,Finlande,62.97,22.02
FIXX0011,Mynamaki,Finlande,60.67,22.0
FIXX0016,Salo,Finlande,60.38,23.13
FIXX0023,Kuopio,Finlande,63.02,27.8
FIXX0028,Jomala,Finlande,60.15,19.87
FIXX0030,Russaro,Finlande,59.77,22.95
FRXX0156,Ile-Rousse,France,42.63,8.94
FRXX0163,Mont-De-Marsan,France,43.89,-0.5
FRXX0168,Pau,France,43.3,-0.37
FRXX0170,Poitiers,France,46.58,0.34
FRXX0175,Trappes,France,48.78,2.01
FRXX0202,Nanterre,France,48.9,2.2
